text,label,notes,source
"Well, if it's a USB device, you can write the whole driver in userspace with libusb, which is what most people do with USB devices these days. It's more for things like if you want to write a new PCI-E device driver, or work on the scheduler (which is a popular OS class exercise).",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"You can run arm VMs without an issue and last I checked you can use Rosetta inside an arm VM to run x86 code. Depends on what you actually need to do, but I find it's a bit more hoops than I'd like to jump through and you normally end up doing a lot of this stuff on remote servers anyways.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"I don't consider that ""equal for development if you use Linux"" personally, but you do you.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"I'd agree with that. I'm more commenting on the 'you can run linux on macs' part. I don't see anything wrong with using a VM for development and wouldn't consider it an inferior method on its own. That said, historically arm support in Linux has been focused on mobile devices and single board computers and the ""Linux on arm"" piece is what would make me avoid saying that it's equal to using Linux on a framework laptop.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"I don't see anything wrong with using a VM for development and wouldn't consider it an inferior method on its own. I'm mean, the abstraction would piss me off personally, when it comes to i.e running an android app over ADB with breakpoints, and I'd be curious about multimonitor support etc. Oh, and GPU passthrough if running anything on the GPU.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"Yeppp, originally it was a no brainer to get the MBP for me too. How do you think the battery life will fare against the MBP? It concerns me that, I think 3 out of 4 of their benchmarks were on windows and not linux.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"They want you to own nothing and be happy... we want you to own it all. No ecosystem buy in. No subscriptions. Just repairability, upgrade ability, customization. We arent for everyone and that's ok. We are here to give power and ownership back to the consumers.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
Tbh I don't get this argument. It's not impossible to have both. You can have control and system defaults that work out of the box. We just don't see it because it's extra work.,buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"I would say if you are just studying, doesn't really matter which one. However for hobby projects you will be much happier with Framework. Since you WILL want to play with custom hardware, a lot of random peripherals, and x86. Framework is just a lot more hackable than MacBook. And honestly the storage expansion card is such an amazing god send for pentesting. Not mentioning you will probably want to learn AD and how to hack MS services. x86 is the way to go. MS have really shit ARM toolchain. You probably can't run half of the exploit POCs on Windows on ARM.",buying_advice,"recommendation, comparison, or purchase guidance",r/framework
"32GB ""is not enough"" for office use is just insane..",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
We've never replaced the actual webcam / mic - in all cases it's been the ribbon cable between the motherboard and screen that's been bad.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
XPS isn’t “enterprise” grade. More of a “prosumer”.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
8% failure rate 1.5 years in!?! And you think the build quality is solid? OK.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"Jr. Sysadmin I've heard worse from Dell, though it was in a batch and not spread out over years.",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
...but it was DNS the WHOLE TIME! 8% doesn't sound that much higher than what we've been getting from Dell lately TBH.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
Dell offers a TON of enterprise manageability that you lose with the Framework laptops.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
I want to believe this is real but I don't think it is .,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"Boss - ""why aren't you on video??"". Me - ""Webcam broke, replacement is on backorder"". Me to IT - ""No rush, I know you're busy😏👍""",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
I like the idea. But a failure rate of 8% in a year is rough.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"Latitude 3340 with us. Oof. Other than that, though, we've been good with Dell for 15 years.",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
Dell docks are still so sketchy given the cost of those damn things.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
Nothing like having to do goddamn bios updates for a dock,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"Multiple times. As has been said here before, it either works or is a nightmare.",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
I THINK HP uses the same hardware components throughout a model while Dell will change parts mid model. Someone can correct me if I’m wrong,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"I’m not a fan of the XPS line, never used them in any business.",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"The sample size is 73, as noted in his first sentence lol",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
To be fair 8% in something fixable is different from 8% in some glued together contraption,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"at least they are easy to repair, unlike almost all other brands lol",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"To be fair, they bought a year ago, that was a $150 upgrade. Now it costs your firstborn child",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
Good thing you haven't enabled hot patching with Intune then ;),hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"32GB wasn’t enough for an ERP and a browser? Brother the issue is the software, not the hardware",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"Not gonna lie, I would fucking love if i could throw hardware at software issues to solve them, my life would be so much easier.",hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
I'm so glad it's not just me. I felt like I was taking crazy pills reading this post.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
I was going to ask how OP manages driver and bios updates,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
Are drivers not in AutoPatch? Curious on how easy the device would be to manage in Intune,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
If drivers are in WUfB that would be my preference.,hype_reaction,quick reaction or strong opinion with limited detail,uploaded public tech discussion
"Yep, the memory bandwith is insane on the M5 Pro, around 300GB/s ish. Making it very quick for the LLM and ML work in general. Very confused tbh, do you know when they will be restocking the 13 Pro? I could probably wait for some reviews.",hype_reaction,quick reaction or strong opinion with limited detail,r/framework
"Rosetta as an application layer is going away, but as far as I'm aware running x86 code will still be supported in containers.",hype_reaction,quick reaction or strong opinion with limited detail,r/framework
If it’s a usb device not sure why a driver couldn’t be written for a passed through version to a VM.,hype_reaction,quick reaction or strong opinion with limited detail,r/framework
